U_Date,U_FWeekNum,U_FWeek,U_Fperiod,U_FPname,U_FPStart,U_FPEnd,U_Fyear,U_FYStart,U_FYEnd
27/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
28/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
29/03/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
30/03/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
31/03/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
01/04/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
02/04/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
03/04/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
29/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
04/04/2015,14,29/03/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
05/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
06/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
07/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
08/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
09/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
10/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
11/04/2015,15,05/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
12/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
13/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
12/01/2017,2,08/01/2017,1,January,01/01/2017,28/01/2017,2017,01/01/2017,31/12/2017
30/04/2017,18,30/04/2017,5,May,30/04/2017,03/06/2017,2017,01/01/2017,31/12/2017
14/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
15/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
16/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
17/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
18/04/2015,16,12/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
19/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
20/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
21/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
22/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
23/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
01/05/2017,18,30/04/2017,5,May,30/04/2017,03/06/2017,2017,01/01/2017,31/12/2017
24/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
25/04/2015,17,19/04/2015,4,April,29/03/2015,25/04/2015,2015,01/01/2015,31/12/2015
26/04/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
27/04/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
28/04/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
29/04/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
30/04/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
01/05/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
02/05/2015,18,26/04/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
03/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
02/05/2017,18,30/04/2017,5,May,30/04/2017,03/06/2017,2017,01/01/2017,31/12/2017
04/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
05/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
06/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
07/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
08/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
09/05/2015,19,03/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
10/05/2015,20,10/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
11/05/2015,20,10/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
12/05/2015,20,10/05/2015,5,May,26/04/2015,30/05/2015,2015,01/01/2015,31/12/2015
